timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20240409013518818104,196,219,36,0
20240409013519810058,197,219,36,0
20240409013520806311,196,219,36,0
20240409013521812275,196,219,36,0
20240409013522809424,196,220,36,0
20240409013523831065,196,220,36,0
20240409013524833124,196,220,36,0
20240409013525832948,196,220,36,0
20240409013526898304,196,220,36,0
20240409013527897941,196,220,36,0
20240409013528902103,196,220,36,0
20240409013529898686,196,220,36,0
20240409013530939178,196,220,36,0
20240409013531899435,196,220,36,0
20240409013532902321,196,220,36,0
20240409013533899419,196,220,36,0
20240409013534897780,196,220,36,0
20240409013535894506,196,220,36,0
20240409013536903200,196,220,36,0
20240409013538092336,196,220,36,0
20240409013538891161,196,220,36,0
20240409013539936023,196,220,36,0
20240409013540903694,196,220,36,0
20240409013541947695,198,220,36,0
20240409013542907216,196,220,36,0
20240409013543906491,219,219,41,0
20240409013544932226,220,219,41,0
20240409013545988965,221,220,42,0
20240409013547015363,220,220,41,0
20240409013548021925,219,220,41,0
20240409013549014324,219,220,41,0
20240409013550090204,219,220,41,0
20240409013551095198,219,219,41,0
20240409013552147324,219,219,41,0
20240409013553105772,219,219,41,0
20240409013554102314,219,220,41,0
20240409013555104938,219,220,41,0
20240409013556118800,219,219,41,0
20240409013557109643,219,219,41,0
20240409013558108642,219,219,41,0
20240409013559107253,219,219,41,0
20240409013600113105,220,219,41,0
20240409013601250819,219,220,41,0
20240409013602274841,219,220,41,0
20240409013603280140,219,219,41,0
20240409013604280845,219,219,41,0
20240409013605300922,219,219,41,0
20240409013606301237,219,219,41,0
20240409013607282631,220,219,41,0
20240409013608299632,219,219,41,0
20240409013609295341,219,219,41,0
20240409013610287972,219,219,41,0
20240409013611405962,219,219,41,0
20240409013612454693,219,219,41,0
20240409013613311230,197,219,36,0
20240409013614308927,196,219,36,0
20240409013615428389,196,219,36,0
