timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20240409021602977626,196,220,36,1
20240409021603984995,204,220,38,0
20240409021604992034,196,220,36,0
20240409021605987946,196,220,36,0
20240409021606991065,196,220,36,0
20240409021608014034,196,220,36,0
20240409021609023839,196,220,36,0
20240409021610024620,196,220,36,0
20240409021611020427,196,220,36,0
20240409021612024173,196,219,36,0
20240409021613025726,196,220,36,0
20240409021614000360,196,220,36,0
20240409021615027134,196,220,36,0
20240409021616187175,196,220,36,0
20240409021617204705,196,220,36,0
20240409021618224298,196,220,36,0
20240409021619232256,196,220,36,0
20240409021620241093,196,220,36,0
20240409021621231023,196,220,36,0
20240409021622573567,196,220,36,0
20240409021623306717,196,220,36,0
20240409021624334012,197,220,36,0
20240409021625333736,199,220,36,0
20240409021626384322,197,220,36,0
20240409021627346027,197,220,36,0
20240409021628422809,218,220,41,0
20240409021629346329,220,220,41,0
20240409021630351041,220,219,41,0
20240409021631349988,218,220,41,0
20240409021632349746,218,220,41,0
20240409021633395403,218,219,41,0
20240409021634417957,218,220,41,0
20240409021635569525,218,220,41,0
20240409021636503008,218,220,41,0
20240409021637544200,218,220,41,0
20240409021638507814,218,220,41,0
20240409021639588228,218,220,41,0
20240409021640508868,218,220,41,0
20240409021641512299,218,220,41,0
20240409021642517654,218,220,41,0
20240409021643525395,218,220,41,0
20240409021644516036,218,220,41,0
20240409021645520436,218,220,41,0
20240409021646517433,218,220,41,0
20240409021647518152,218,220,41,0
20240409021648512243,218,220,41,0
20240409021649578655,218,220,41,0
20240409021650525087,218,220,41,0
20240409021651523059,218,220,41,0
20240409021652514771,218,220,41,0
20240409021653525953,218,220,41,0
20240409021654640701,218,220,41,0
20240409021655656321,218,220,41,0
20240409021656656492,218,220,41,0
20240409021657660788,218,220,41,0
20240409021658690472,196,220,36,0
20240409021659660645,196,220,36,0
20240409021700686804,196,220,36,0
