timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20240409013538801692,175,220,33,0
20240409013539863275,186,220,35,0
20240409013540859421,202,220,38,0
20240409013541902835,189,220,36,0
20240409013542822369,219,220,42,0
20240409013543872765,248,220,49,0
20240409013544894750,246,219,49,0
20240409013545952018,250,220,50,0
20240409013546974849,247,220,49,0
20240409013547955088,247,220,49,0
20240409013548975962,247,220,49,0
20240409013550070412,247,220,49,0
20240409013551056190,247,220,49,0
20240409013552062493,248,220,49,0
20240409013553063171,247,220,49,0
20240409013554072645,248,220,49,0
20240409013555020413,247,220,49,0
20240409013556065113,248,220,49,0
20240409013557023270,247,220,49,0
20240409013558027138,248,219,49,0
20240409013559017782,248,219,49,0
20240409013600026560,248,219,49,0
20240409013601216459,248,220,49,0
20240409013602233820,248,220,49,0
20240409013603237025,248,220,49,0
20240409013604239624,248,220,49,0
20240409013605300405,248,220,49,0
20240409013606253064,248,219,49,0
20240409013607178357,248,219,49,0
20240409013608205169,248,219,49,0
20240409013609202208,248,219,49,0
20240409013610208676,248,220,49,0
20240409013611394888,248,219,49,0
20240409013612266857,248,220,49,0
20240409013613271201,242,220,48,0
20240409013614228026,240,220,47,0
20240409013615391396,223,219,43,0
20240409013616631579,177,220,33,0
20240409013617357567,179,220,33,0
20240409013618409381,175,220,33,0
20240409013619489213,177,220,33,0
20240409013620486838,180,220,34,0
20240409013622045845,178,220,33,0
20240409013623089562,176,220,33,0
20240409013624064308,176,220,33,0
20240409013625065262,176,220,33,0
20240409013626073448,176,220,33,0
20240409013627065310,176,220,33,0
20240409013628086634,176,220,33,0
20240409013629058245,176,220,33,0
20240409013630083883,176,220,33,0
20240409013631082924,176,220,33,0
20240409013632080992,176,220,33,0
20240409013633081504,175,220,33,0
20240409013634081281,175,220,33,0
20240409013635080881,175,220,33,0
